remedy_id,symptom_id
Abies canadensis [Abies-c.],"AGITATION, nervositŽ."
Abies canadensis [Abies-c.],"AGITATION, nervositŽ: nuit, la."
Abies canadensis [Abies-c.],CALME: disposition ˆ tre calme.
Abies canadensis [Abies-c.],INATTENTIF.
Abies canadensis [Abies-c.],IRRITABILITƒ.
Abies canadensis [Abies-c.],VERTIGE.
Abies canadensis [Abies-c.],"º APPƒTIT: augmentŽ, faim. ·"
Abies canadensis [Abies-c.],"APPƒTIT: vorace, faim canine, excessive."
Abies canadensis [Abies-c.],"AVERSION: acides, pour les."
Abies canadensis [Abies-c.],"AVERSION: condiments, pour les."
Abies canadensis [Abies-c.],"AVERSION: viande, pour la."
Abies canadensis [Abies-c.],"DƒSIR: assaisonnŽs, d’ aliments tr s. [3]"
Abies canadensis [Abies-c.],"DƒSIR: condiments, de."
Abies canadensis [Abies-c.],"DƒSIR: lŽgumes, de. [2]"
Abies canadensis [Abies-c.],"DƒSIR: radis, de. [3]"
Abies canadensis [Abies-c.],"Ä DƒSIR: surs, d’ aliments, acides, etc. [2]·"
Abies canadensis [Abies-c.],"DƒSIR: viande, de."
Abies canadensis [Abies-c.],"DOULEURS: bržlure, ˆ type de."
Abies canadensis [Abies-c.],"DOULEURS: rongement, ˆ type de."
Abies canadensis [Abies-c.],"ƒRUCTATIONS: gŽnŽral, en."
Abies canadensis [Abies-c.],"FOIE ET A LA RƒGION DU FOIE, Localisation au."
Abies canadensis [Abies-c.],GRONDEMENT DANS L’ ABDOMEN: repas: apr s le repas.
Abies canadensis [Abies-c.],"RATE, Maladies de la."
Abies canadensis [Abies-c.],CONSTIPATION.
Abies canadensis [Abies-c.],MOLLESSE: l’ utŽrus donne l’ impression d’ tre mou.
Abies canadensis [Abies-c.],"Ä PALPITATIONS: repas, apr s le. ·"
Abies canadensis [Abies-c.],"Ä DOULEURS: dos en gŽnŽral, dans le: dorsale, dans la rŽgion: omoplates, au niveau des: droite, de l’ omoplate: sous l’ omoplate droite. ·"
Abies canadensis [Abies-c.],"FROID, Sensation de, frisson: se propageant: long du dos, le: descendant, en."
Abies canadensis [Abies-c.],"FROID, Sensation de, frisson: dorsale, dans la rŽgion: omoplates: entre les omoplates."
Abies canadensis [Abies-c.],"FROID, Sensation de, frisson: dorsale, dans la rŽgion: omoplates: entre les omoplates: eau froide, comme par de l’."
Abies canadensis [Abies-c.],"DESSéCHEMENT: main, de la."
Abies canadensis [Abies-c.],"FROIDEUR: mains, des."
Abies canadensis [Abies-c.],PARALYSIE: douleurs: indolore.
Abies canadensis [Abies-c.],BåILLEMENTS.
Abies canadensis [Abies-c.],SOMNOLENCE.
Abies canadensis [Abies-c.],"CïTƒS: droit, sympt™mes du c™tŽ."
Abies canadensis [Abies-c.],"DOULEURS: bržlure, ˆ type de: internes."
Abies canadensis [Abies-c.],"FAIBLESSE PHYSIQUE, affaiblissement."
Abies canadensis [Abies-c.],PRESSION: amŽlioration par la pression.
Abies canadensis [Abies-c.],"SYNCOPE, Žvanouissement."
Abies nigra [Abies-n.],"AGITATION, nervositŽ."
Abies nigra [Abies-n.],"AGITATION, nervositŽ: nuit, la."
Abies nigra [Abies-n.],Ä GROSSIER. [3]·
Abies nigra [Abies-n.],"LOURDEUR D’ ESPRIT, difficultŽ ˆ penser et ˆ comprendre."
Abies nigra [Abies-n.],"Ä TRISTESSE, dŽpression nerveuse. ·"
Abies nigra [Abies-n.],VERTIGE.
Abies nigra [Abies-n.],CHALEUR: chaleur ˆ la t te.
Abies nigra [Abies-n.],"Ä CORPS ƒTRANGER, Sensation de. [3]·"
Abies nigra [Abies-n.],"APPƒTIT: augmentŽ, faim: midi, ˆ."
Abies nigra [Abies-n.],"APPƒTIT: augmentŽ, faim: nuit, la."
Abies nigra [Abies-n.],"APPƒTIT: manque d’ appŽtit: matin, le."
Abies nigra [Abies-n.],"APPƒTIT: vorace, faim canine, excessive: midi, ˆ."
Abies nigra [Abies-n.],"APPƒTIT: vorace, faim canine, excessive: nuit, la."
Abies nigra [Abies-n.],"APPƒTIT: vorace, faim canine, excessive: sommeil, emp chant le."
Abies nigra [Abies-n.],"Ä BOULE DANS L’ ESTOMAC, Sensation de: repas, apr s le. ·"
Abies nigra [Abies-n.],"Ä BOULE DANS L’ ESTOMAC, Sensation de: cardia, au niveau du. [3]·"
Abies nigra [Abies-n.],"DƒSIR: concombres, de."
Abies nigra [Abies-n.],"DOULEURS: gŽnŽral, en."
Abies nigra [Abies-n.],"Ä DOULEURS: gŽnŽral, en: repas: apr s le repas. ·"
Abies nigra [Abies-n.],"DOULEURS: meurtrissure, ˆ type de, comme apr s avoir ŽtŽ battu, sensibilitŽ de l’ estomac ˆ la pression."
Abies nigra [Abies-n.],"DOULEURS: pression, ˆ type de: poids, comme par un."
Abies nigra [Abies-n.],"ƒRUCTATIONS: liquides, rŽgurgitations."
Abies nigra [Abies-n.],"ƒRUCTATIONS: vide, ˆ."
Abies nigra [Abies-n.],"LOURDEUR, Sensation de, de poids, oppression de l’ estomac."
Abies nigra [Abies-n.],"Ä LOURDEUR, Sensation de, de poids, oppression de l’ estomac: repas: apr s le repas. ·"
Abies nigra [Abies-n.],"PIERRE, Sensation de."
Abies nigra [Abies-n.],CONSTIPATION.
Abies nigra [Abies-n.],DURES.
Abies nigra [Abies-n.],MICTION: frŽquente.
Abies nigra [Abies-n.],"MICTION: retard, en, l’ urine ne commence ˆ couler qu’ apr s un temps d’ attente: presser, il est obligŽ de: un long moment avant de pouvoir commencer ˆ uriner."
Abies nigra [Abies-n.],"MICTION: retard, en, l’ urine ne commence ˆ couler qu’ apr s un temps d’ attente: presser, il est obligŽ de: miction douloureuse et frŽquente, avec tendance ˆ s’ asseoir et ˆ faire un effort prolongŽ pour uriner, apr s quoi il n’ Žvacue que quelques gouttes."
Abies nigra [Abies-n.],"º RéGLES: jour seulement, le. [255]·"
Abies nigra [Abies-n.],DIFFICILE.
Abies nigra [Abies-n.],"DOULEURS: dos en gŽnŽral, dans le."
Abies nigra [Abies-n.],"INSOMNIE: faim, due ˆ la."
Abies nigra [Abies-n.],"PERTURBE: faim, par la."
Abies nigra [Abies-n.],SOMNOLENCE.
Abies nigra [Abies-n.],"Ä MATIN, Le. ·"
Abies nigra [Abies-n.],"COUCHE: aggravation: couchŽ, quand il est."
Abies nigra [Abies-n.],"DOULEURS: os, des."
Abies nigra [Abies-n.],"DOULEURS: coupure, ˆ type de: internes."
Abies nigra [Abies-n.],"Ä DOULEURS: pression, ˆ type de: lourde charge, comme par une. ·"
Abies nigra [Abies-n.],"FAIBLESSE PHYSIQUE, affaiblissement."
Abies nigra [Abies-n.],REPAS: apr s le repas.
Abrotanum [Abrot.],"AGITATION, nervositŽ."
Abrotanum [Abrot.],"AGITATION, nervositŽ: nuit, la."
Abrotanum [Abrot.],Ä ALTERNANCE DE SYMPTïMES MENTAUX ET PHYSIQUES. [3]·
Abrotanum [Abrot.],Ä ANXIƒTƒ. ·
Abrotanum [Abrot.],CRUAUTƒ.
Abrotanum [Abrot.],EFFORT: intellectuel: aggravation par l’ effort intellectuel.
Abrotanum [Abrot.],EXCITATION NERVEUSE.
Abrotanum [Abrot.],"GAIETƒ, il se sent heureux."
Abrotanum [Abrot.],"HALLUCINATIONS, imaginations, illusions: ramollissement cŽrŽbral, il a un."
Abrotanum [Abrot.],"HALLUCINATIONS, imaginations, illusions: voix: il entend des voix."
Abrotanum [Abrot.],"HALLUCINATIONS, imaginations, illusions: voix: il entend des voix: lit, quand il est au, elles cessent quand il Žcoute attentivement."
Abrotanum [Abrot.],HUMEUR: agrŽable.
Abrotanum [Abrot.],HYSTƒRIE.
Abrotanum [Abrot.],IRRITABILITƒ.
Abrotanum [Abrot.],"IRRITABILITƒ: enfant, chez un."
Abrotanum [Abrot.],LOQUACITƒ.
Abrotanum [Abrot.],"LOURDEUR D’ ESPRIT, difficultŽ ˆ penser et ˆ comprendre."
Abrotanum [Abrot.],MƒCHANCETƒ.
Abrotanum [Abrot.],MƒMOIRE: faiblesse de la mŽmoire.
Abrotanum [Abrot.],"OUBLI, Tendance ˆ l’."
Abrotanum [Abrot.],"PARLER: taciturne, peu enclin ˆ parler, il prŽf re rester silencieux."
Abrotanum [Abrot.],"PEUR: maladie, d’ une: ramollissement cŽrŽbral, du. [3]"
Abrotanum [Abrot.],PROSTRATION DE L’ ESPRIT.
Abrotanum [Abrot.],SURSAUTS: sommeil: rŽveil en sursaut.
Abrotanum [Abrot.],"TRAVAIL: aversion pour le travail, indolence."
Abrotanum [Abrot.],"TRISTESSE, dŽpression nerveuse."
Abrotanum [Abrot.],VIOLENT.
Abrotanum [Abrot.],FROID: sensation de froid.
Abrotanum [Abrot.],"PLƒNITUDE, Sensation de."
Abrotanum [Abrot.],PRURIT DU CUIR CHEVELU.
Abrotanum [Abrot.],CƒPHALƒE EN GƒNƒRAL.
Abrotanum [Abrot.],"CƒPHALƒE EN GƒNƒRAL: alternant: hŽmorro•des, avec des."
Abrotanum [Abrot.],"MEURTRISSURE, A type de, sensibilitŽ ˆ la pression."
Abrotanum [Abrot.],ATONIE: yeux atones.
Abrotanum [Abrot.],"OUVERTURE DES YEUX: incapable d’ ouvrir les yeux, il est."
Abrotanum [Abrot.],ROUGEUR.
Abrotanum [Abrot.],"BRUITS DANS LES OREILLES: afflux liquidien, comme un."
Abrotanum [Abrot.],"BRUITS DANS LES OREILLES: bourdonnement des insectes, comme le, de type « zzz… »."
Abrotanum [Abrot.],"BRUITS DANS LES OREILLES: fredonnement, de type « mmm… », ˆ bouche fermŽe."
Abrotanum [Abrot.],"BRUITS DANS LES OREILLES: vent, comme le bruit du."
Abrotanum [Abrot.],VENT: sensation de vent dans l’ oreille: sortant de l’ oreille.
Abrotanum [Abrot.],ƒCOULEMENT: aqueux.
Abrotanum [Abrot.],ƒPISTAXIS.
Abrotanum [Abrot.],"ƒPISTAXIS: plŽthorique, chez un patient. [3]"
Abrotanum [Abrot.],SƒCHERESSE: interne.
Abrotanum [Abrot.],COLORATION: bleu‰tre: yeux cernŽs.
Abrotanum [Abrot.],"DOULEURS, prosopalgie: gŽnŽral, en."
Abrotanum [Abrot.],"DOULEURS, prosopalgie: tiraillantes."
Abrotanum [Abrot.],Ä ƒRUPTION: comŽdons. ·
Abrotanum [Abrot.],Ä FACIéS: vieillot. ·
Abrotanum [Abrot.],FROIDEUR DE LA FACE.
Abrotanum [Abrot.],Ä PLISSEMENT. ·
Abrotanum [Abrot.],"VEINES, Dilatation des: front, du. [3]"
Abrotanum [Abrot.],"CHALEUR, Sensation de: matin, le."
Abrotanum [Abrot.],"DOULEURS: meurtrissure, ˆ type de."
Abrotanum [Abrot.],"DOULEURS: meurtrissure, ˆ type de: langue, de la."
Abrotanum [Abrot.],GOóT: anormal: sur.
Abrotanum [Abrot.],"GOóT: anormal: vase, de."
Abrotanum [Abrot.],"CARIES, dents creuses."
Abrotanum [Abrot.],"DOULEURS: dŽchirement, ˆ type de."
Abrotanum [Abrot.],DOULEURS: tiraillantes.
Abrotanum [Abrot.],"DOULEURS: tiraillantes: dŽchirement, avec sensation de."
Abrotanum [Abrot.],RACLEMENT DE GORGE.
Abrotanum [Abrot.],"DOULEURS: c™tŽs du cou, dans les."
Abrotanum [Abrot.],ANXIƒTƒ RESSENTIE DANS L’ ESTOMAC. [3]
Abrotanum [Abrot.],"APPƒTIT: augmentŽ, faim."
Abrotanum [Abrot.],"APPƒTIT: augmentŽ, faim: tenaillante, faim."
Abrotanum [Abrot.],APPƒTIT: manque d’ appŽtit.
Abrotanum [Abrot.],"APPƒTIT: vorace, faim canine, excessive."
Abrotanum [Abrot.],"Ä APPƒTIT: vorace, faim canine, excessive: Žmaciation, avec. ·"
Abrotanum [Abrot.],"Ä APPƒTIT: vorace, faim canine, excessive: marasme, avec. ·"
Abrotanum [Abrot.],BALLONNEMENT DE L’ ESTOMAC.
Abrotanum [Abrot.],"CHALEUR, BouffŽes de."
Abrotanum [Abrot.],"DESCENTE D’ ESTOMAC, Sensation de."
Abrotanum [Abrot.],"DƒSIR: lait, de: bouilli."
Abrotanum [Abrot.],"DƒSIR: pain, de."
Abrotanum [Abrot.],"DƒSIR: pain, de: bouilli dans le lait."
Abrotanum [Abrot.],"Ä DOULEURS: gŽnŽral, en. ·"
Abrotanum [Abrot.],"Ä DOULEURS: gŽnŽral, en: nuit, la. ·"
Abrotanum [Abrot.],"DOULEURS: bržlure, ˆ type de."
Abrotanum [Abrot.],"DOULEURS: bržlure, ˆ type de: soir, le."
Abrotanum [Abrot.],"Ä DOULEURS: bržlure, ˆ type de: nuit, la. ·"
Abrotanum [Abrot.],"Ä DOULEURS: coupure, ˆ type de. ·"
Abrotanum [Abrot.],"DOULEURS: coupure, ˆ type de: nuit, la."
Abrotanum [Abrot.],"DOULEURS: crampes, ˆ type de, d’ Žtreinte, de constriction."
Abrotanum [Abrot.],"DOULEURS: crampes, ˆ type de, d’ Žtreinte, de constriction: nuit, la."
Abrotanum [Abrot.],"DOULEURS: meurtrissure, ˆ type de, comme apr s avoir ŽtŽ battu, sensibilitŽ de l’ estomac ˆ la pression: soir, le."
Abrotanum [Abrot.],DOULEURS: piquantes.
Abrotanum [Abrot.],"DOULEURS: rongement, ˆ type de."
Abrotanum [Abrot.],"DOULEURS: rongement, ˆ type de: nuit, la."
Abrotanum [Abrot.],"ƒRUCTATIONS: gŽnŽral, en: soir, le."
Abrotanum [Abrot.],"ƒRUCTATIONS: sure, d’ odeur."
Abrotanum [Abrot.],"ƒRUCTATIONS: vide, ˆ: soir, le."
Abrotanum [Abrot.],"FROID, Sensation de."
Abrotanum [Abrot.],"INDIGESTION, dans cette rubrique sont inclus les troubles apr s absorption de substances non prŽcisŽes."
Abrotanum [Abrot.],"PENDANT, Sensation d’ estomac, rel‰chŽ."
Abrotanum [Abrot.],"VIDE, Sensation de, faiblesse, malaise, rel‰chement, faim."
Abrotanum [Abrot.],Ä BALLONNEMENT DE L’ ABDOMEN. ·
Abrotanum [Abrot.],"CHALEUR, Sensation de."
Abrotanum [Abrot.],"DOULEURS: gŽnŽral (en) sourdes: nuit, la."
Abrotanum [Abrot.],"DOULEURS: gŽnŽral (en) sourdes: hypocondres, dans les."
Abrotanum [Abrot.],"Ä DOULEURS: crampes, ˆ type de, d’ Žtreinte. ·"
Abrotanum [Abrot.],Ä ƒCOULEMENT OMBILICAL. ·
Abrotanum [Abrot.],ƒCOULEMENT OMBILICAL: de liquide sanguinolent. [3]
Abrotanum [Abrot.],"FOIE ET A LA RƒGION DU FOIE, Localisation au."
Abrotanum [Abrot.],"RATE, Maladies de la."
